unidade;ano;mes;readmissoes;altas_validas;obitos;tx_readmissao
HAC;2019,0;5,0;4,0;238,0;21,0;0,018433179723502304
HAC;2019,0;6,0;9,0;346,0;30,0;0,028481012658227847
HAC;2019,0;7,0;17,0;320,0;25,0;0,0576271186440678
HAC;2019,0;8,0;13,0;325,0;29,0;0,04391891891891892
HAC;2019,0;9,0;16,0;286,0;31,0;0,06274509803921569
HAC;2019,0;10,0;24,0;318,0;28,0;0,08275862068965517
HAC;2019,0;11,0;25,0;310,0;21,0;0,08650519031141868
HAC;2019,0;12,0;25,0;313,0;23,0;0,08620689655172414
HAC;2020,0;1,0;20,0;275,0;16,0;0,07722007722007722
HAC;2020,0;2,0;7,0;269,0;24,0;0,02857142857142857
HAC;2020,0;3,0;9,0;297,0;20,0;0,032490974729241874
HAC;2020,0;4,0;7,0;243,0;26,0;0,03225806451612903
HAC;2020,0;5,0;9,0;238,0;19,0;0,0410958904109589
HAC;2020,0;6,0;17,0;242,0;24,0;0,0779816513761468
HAC;2020,0;7,0;15,0;252,0;24,0;0,06578947368421052
HAC;2020,0;8,0;14,0;279,0;22,0;0,054474708171206226
HAC;2020,0;9,0;14,0;254,0;13,0;0,058091286307053944
HAC;2020,0;10,0;13,0;277,0;24,0;0,05138339920948617
HAC;2020,0;11,0;11,0;267,0;28,0;0,04602510460251046
HAC;2020,0;12,0;18,0;274,0;23,0;0,07171314741035857
HAC;2021,0;1,0;11,0;241,0;26,0;0,05116279069767442
HAC;2021,0;2,0;13,0;222,0;16,0;0,06310679611650485
HAC;2021,0;3,0;7,0;276,0;23,0;0,02766798418972332
HAC;2021,0;4,0;16,0;254,0;31,0;0,07174887892376682
HAC;2021,0;5,0;8,0;251,0;19,0;0,034482758620689655
HAC;2021,0;6,0;5,0;266,0;27,0;0,02092050209205021
HAC;2021,0;7,0;17,0;254,0;18,0;0,07203389830508475
HAC;2021,0;8,0;8,0;262,0;21,0;0,03319502074688797
HAC;2021,0;9,0;13,0;268,0;24,0;0,05327868852459016
HAC;2021,0;10,0;14,0;270,0;22,0;0,056451612903225805
HAC;2021,0;11,0;9,0;227,0;26,0;0,04477611940298507
HAC;2021,0;12,0;7,0;242,0;26,0;0,032407407407407406
HAC;2022,0;1,0;19,0;203,0;24,0;0,10614525139664804
HAC;2022,0;2,0;1,0;181,0;20,0;0,006211180124223602
HAC;2022,0;3,0;9,0;198,0;20,0;0,05056179775280899
HAC;2022,0;5,0;9,0;251,0;20,0;0,03896103896103896
HAC;2022,0;6,0;9,0;258,0;24,0;0,038461538461538464
HAC;2022,0;7,0;18,0;244,0;20,0;0,08035714285714286
HAC;2022,0;8,0;6,0;252,0;24,0;0,02631578947368421
HAC;2022,0;9,0;10,0;199,0;15,0;0,05434782608695652
HAC;2022,0;10,0;9,0;239,0;24,0;0,04186046511627907
HAC;2022,0;11,0;11,0;193,0;22,0;0,06432748538011696
HAC;2022,0;12,0;23,0;248,0;19,0;0,10043668122270742
HAC;2023,0;1,0;9,0;203,0;20,0;0,04918032786885246
HAC;2023,0;2,0;12,0;224,0;25,0;0,06030150753768844
HAC;2023,0;3,0;17,0;298,0;35,0;0,06463878326996197
HAC;2023,0;4,0;25,0;257,0;22,0;0,10638297872340426
HAC;2023,0;5,0;11,0;264,0;31,0;0,04721030042918455
HAC;2023,0;6,0;22,0;276,0;25,0;0,08764940239043825
HAC;2023,0;7,0;14,0;275,0;30,0;0,05714285714285714
HAC;2023,0;8,0;29,0;276,0;23,0;0,11462450592885376
HAC;2023,0;9,0;30,0;287,0;30,0;0,11673151750972763
HAC;2023,0;10,0;24,0;277,0;29,0;0,0967741935483871
HAC;2023,0;11,0;22,0;235,0;25,0;0,10476190476190476
HAC;2023,0;12,0;20,0;264,0;22,0;0,08264462809917356
HAC;2024,0;1,0;19,0;263,0;34,0;0,08296943231441048
HAC;2024,0;2,0;27,0;282,0;24,0;0,10465116279069768
HAC;2024,0;3,0;15,0;307,0;27,0;0,05357142857142857
HAC;2024,0;4,0;18,0;327,0;32,0;0,061016949152542375
HAC;2024,0;5,0;30,0;311,0;31,0;0,10714285714285714
HAC;2024,0;6,0;17,0;280,0;21,0;0,06563706563706563
HAC;2024,0;7,0;36,0;290,0;25,0;0,13584905660377358
HAC;2024,0;8,0;33,0;325,0;28,0;0,1111111111111111
HAC;2024,0;9,0;17,0;293,0;28,0;0,06415094339622641
HAC;2024,0;10,0;26,0;323,0;24,0;0,08695652173913043
HAC;2024,0;11,0;38,0;328,0;32,0;0,12837837837837837
HAC;2024,0;12,0;30,0;295,0;25,0;0,1111111111111111
HAC;2025,0;1,0;30,0;318,0;41,0;0,10830324909747292
HAC;2025,0;2,0;28,0;273,0;31,0;0,11570247933884298
HAC;2025,0;3,0;33,0;322,0;22,0;0,11
HAC;2025,0;4,0;41,0;327,0;26,0;0,1362126245847176
HAC;2025,0;5,0;30,0;328,0;40,0;0,10416666666666667
HAC;2025,0;6,0;18,0;306,0;32,0;0,06569343065693431
HAC;2025,0;7,0;14,0;327,0;44,0;0,04946996466431095
HAC;2025,0;8,0;13,0;305,0;36,0;0,048327137546468404
HAC;2025,0;9,0;13,0;312,0;17,0;0,04406779661016949
HAC;2025,0;10,0;12,0;324,0;28,0;0,04054054054054054
HAC;2025,0;11,0;7,0;326,0;25,0;0,023255813953488372
HAC;2025,0;12,0;3,0;299,0;23,0;0,010869565217391304
HAC;2026,0;1,0;2,0;289,0;31,0;0,007751937984496124
HAC;2026,0;2,0;1,0;271,0;21,0;0,004
HAC;2026,0;3,0;6,0;328,0;24,0;0,019736842105263157
HAC;2026,0;4,0;2,0;319,0;27,0;0,00684931506849315
HAC;2026,0;5,0;7,0;319,0;25,0;0,023809523809523808
HAC;2026,0;6,0;8,0;330,0;33,0;0,026936026936026935
HAC;2026,0;7,0;7,0;373,0;34,0;0,02064896755162242
HAC;2026,0;8,0;3,0;348,0;32,0;0,00949367088607595
HEM;2020,0;1,0;2,0;115,0;14,0;0,019801980198019802
HEM;2020,0;2,0;3,0;104,0;11,0;0,03225806451612903
HEM;2020,0;5,0;1,0;206,0;30,0;0,005681818181818182
HEM;2020,0;6,0;1,0;180,0;31,0;0,006711409395973154
HEM;2020,0;7,0;3,0;257,0;49,0;0,014423076923076924
HEM;2020,0;8,0;1,0;173,0;33,0;0,007142857142857143
HEM;2020,0;10,0;2,0;153,0;25,0;0,015625
HEM;2020,0;12,0;2,0;233,0;48,0;0,010810810810810811
HEM;2021,0;1,0;3,0;206,0;44,0;0,018518518518518517
HEM;2021,0;2,0;2,0;148,0;23,0;0,016
HEM;2021,0;4,0;1,0;265,0;55,0;0,004761904761904762
HEM;2021,0;5,0;1,0;241,0;34,0;0,004830917874396135
HEM;2021,0;8,0;4,0;167,0;20,0;0,027210884353741496
HEM;2021,0;9,0;3,0;134,0;13,0;0,024793388429752067
HEM;2021,0;10,0;1,0;149,0;18,0;0,007633587786259542
HEM;2021,0;11,0;4,0;169,0;17,0;0,02631578947368421
HEM;2021,0;12,0;4,0;164,0;18,0;0,0273972602739726
HEM;2022,0;1,0;2,0;205,0;33,0;0,011627906976744186
HEM;2022,0;2,0;2,0;138,0;24,0;0,017543859649122806
HEM;2022,0;3,0;3,0;119,0;18,0;0,0297029702970297
HEM;2022,0;4,0;7,0;121,0;15,0;0,0660377358490566
HEM;2022,0;5,0;4,0;145,0;23,0;0,03278688524590164
HEM;2022,0;6,0;3,0;174,0;13,0;0,018633540372670808
HEM;2022,0;7,0;2,0;162,0;21,0;0,014184397163120567
HEM;2022,0;8,0;4,0;149,0;13,0;0,029411764705882353
HEM;2022,0;9,0;7,0;185,0;15,0;0,041176470588235294
HEM;2022,0;10,0;1,0;161,0;10,0;0,006622516556291391
HEM;2022,0;11,0;7,0;176,0;20,0;0,04487179487179487
HEM;2022,0;12,0;4,0;198,0;15,0;0,02185792349726776
HEM;2023,0;1,0;4,0;160,0;14,0;0,0273972602739726
HEM;2023,0;2,0;2,0;152,0;12,0;0,014285714285714285
HEM;2023,0;3,0;10,0;162,0;16,0;0,0684931506849315
HEM;2023,0;4,0;5,0;149,0;3,0;0,03424657534246575
HEM;2023,0;5,0;3,0;145,0;11,0;0,022388059701492536
HEM;2023,0;6,0;10,0;162,0;10,0;0,06578947368421052
HEM;2023,0;7,0;3,0;131,0;9,0;0,02459016393442623
HEM;2023,0;8,0;5,0;179,0;17,0;0,030864197530864196
HEM;2023,0;9,0;3,0;133,0;13,0;0,025
HEM;2023,0;10,0;5,0;123,0;11,0;0,044642857142857144
HEM;2023,0;11,0;4,0;131,0;14,0;0,03418803418803419
HEM;2023,0;12,0;3,0;134,0;19,0;0,02608695652173913
HEM;2024,0;1,0;3,0;248,0;16,0;0,01293103448275862
HEM;2024,0;2,0;2,0;376,0;10,0;0,00546448087431694
HEM;2024,0;3,0;3,0;418,0;12,0;0,007389162561576354
HEM;2024,0;4,0;2,0;374,0;11,0;0,005509641873278237
HEM;2024,0;5,0;2,0;256,0;14,0;0,008264462809917356
HEM;2024,0;6,0;4,0;164,0;18,0;0,0273972602739726
HEM;2024,0;7,0;4,0;158,0;6,0;0,02631578947368421
HEM;2024,0;8,0;5,0;136,0;8,0;0,0390625
HEM;2024,0;9,0;5,0;156,0;14,0;0,035211267605633804
HEM;2024,0;10,0;2,0;144,0;4,0;0,014285714285714285
HEM;2024,0;11,0;12,0;148,0;12,0;0,08823529411764706
HEM;2024,0;12,0;7,0;143,0;12,0;0,05343511450381679
HEM;2025,0;1,0;5,0;142,0;10,0;0,03787878787878788
HEM;2025,0;2,0;6,0;132,0;15,0;0,05128205128205128
HEM;2025,0;3,0;5,0;158,0;10,0;0,033783783783783786
HEM;2025,0;4,0;5,0;171,0;13,0;0,03164556962025317
HEM;2025,0;5,0;2,0;178,0;17,0;0,012422360248447204
HEM;2025,0;6,0;6,0;155,0;22,0;0,045112781954887216
HEM;2025,0;7,0;7,0;184,0;16,0;0,041666666666666664
HEM;2025,0;8,0;6,0;165,0;15,0;0,04
HEM;2025,0;9,0;4,0;184,0;10,0;0,022988505747126436
HEM;2025,0;10,0;6,0;193,0;13,0;0,03333333333333333
HEM;2025,0;11,0;5,0;154,0;12,0;0,035211267605633804
HEM;2025,0;12,0;7,0;171,0;11,0;0,04375
HEM;2026,0;1,0;6,0;154,0;15,0;0,04316546762589928
HEM;2026,0;2,0;1,0;141,0;9,0;0,007575757575757576
HEM;2026,0;3,0;2,0;178,0;14,0;0,012195121951219513
HEM;2026,0;5,0;4,0;191,0;15,0;0,022727272727272728
HEM;2026,0;6,0;4,0;176,0;10,0;0,024096385542168676
HEM;2026,0;7,0;2,0;180,0;16,0;0,012195121951219513
HEM;2026,0;8,0;1,0;154,0;11,0;0,006993006993006993
HIJPII;2019,0;5,0;2,0;213,0;0,0;0,009389671361502348
HIJPII;2020,0;1,0;6,0;288,0;5,0;0,02120141342756184
HIJPII;2020,0;2,0;3,0;319,0;2,0;0,00946372239747634
HIJPII;2020,0;5,0;4,0;58,0;4,0;0,07407407407407407
HIJPII;2020,0;6,0;3,0;260,0;2,0;0,011627906976744186
HIJPII;2020,0;7,0;2,0;368,0;3,0;0,005479452054794521
HIJPII;2020,0;8,0;6,0;309,0;3,0;0,0196078431372549
HIJPII;2020,0;9,0;5,0;282,0;2,0;0,017857142857142856
HIJPII;2020,0;10,0;3,0;292,0;1,0;0,010309278350515464
HIJPII;2020,0;11,0;4,0;344,0;8,0;0,011904761904761904
HIJPII;2020,0;12,0;2,0;168,0;2,0;0,012048192771084338
HIJPII;2021,0;1,0;6,0;320,0;3,0;0,01892744479495268
HIJPII;2021,0;2,0;8,0;327,0;5,0;0,024844720496894408
HIJPII;2021,0;3,0;1,0;308,0;0,0;0,003246753246753247
HIJPII;2021,0;5,0;8,0;237,0;2,0;0,03404255319148936
HIJPII;2021,0;6,0;2,0;116,0;2,0;0,017543859649122806
HIJPII;2021,0;7,0;15,0;327,0;4,0;0,04643962848297214
HIJPII;2021,0;8,0;15,0;309,0;3,0;0,049019607843137254
HIJPII;2021,0;9,0;11,0;341,0;3,0;0,03254437869822485
HIJPII;2021,0;10,0;26,0;363,0;1,0;0,0718232044198895
HIJPII;2021,0;11,0;20,0;366,0;5,0;0,055401662049861494
